seq_id	species	label
AF112352	ACMV	ACMV
AF259894	ACMV	ACMV
AF366902	ACMV	ACMV
AJ427910	ACMV	ACMV
AM502338	ACMV	ACMV
AM502339	ACMV	ACMV
AM502340	ACMV	ACMV
AY211884	ACMV	ACMV
AY211885	ACMV	ACMV
AY795982	ACMV	ACMV
EU685318	ACMV	ACMV
EU685320	ACMV	ACMV
EU685322	ACMV	ACMV
EU685324	ACMV	ACMV
EU685325	ACMV	ACMV
FJ807631	ACMV	ACMV
FM877473	ACMV	ACMV
FN435271	ACMV	ACMV
FN435272	ACMV	ACMV
FN435273	ACMV	ACMV
FN435274	ACMV	ACMV
FN435275	ACMV	ACMV
FN435276	ACMV	ACMV
FN435277	ACMV	ACMV
FN668378	ACMV	ACMV
GU580897	ACMV	ACMV
HE814062	ACMV	ACMV
HE814065	ACMV	ACMV
HE979758	ACMV	ACMV
HE979759	ACMV	ACMV
HE979760	ACMV	ACMV
HE979761	ACMV	ACMV
HE979762	ACMV	ACMV
HE979763	ACMV	ACMV
HE979764	ACMV	ACMV
HE979765	ACMV	ACMV
HE979766	ACMV	ACMV
HE979767	ACMV	ACMV
HE979768	ACMV	ACMV
HG530110	ACMV	ACMV
HG530111	ACMV	ACMV
J02057	ACMV	ACMV
JN053421	ACMV	ACMV
JN053422	ACMV	ACMV
JN053423	ACMV	ACMV
JN053424	ACMV	ACMV
JN053425	ACMV	ACMV
JN053426	ACMV	ACMV
JN053427	ACMV	ACMV
JN053428	ACMV	ACMV
JN053429	ACMV	ACMV
JN053430	ACMV	ACMV
JN053431	ACMV	ACMV
JN165088	ACMV	ACMV
JX658682	ACMV	ACMV
KJ887753	ACMV	ACMV
KJ887754	ACMV	ACMV
KJ887755	ACMV	ACMV
KJ887756	ACMV	ACMV
KJ887757	ACMV	ACMV
KJ887758	ACMV	ACMV
KJ887759	ACMV	ACMV
KJ887760	ACMV	ACMV
KJ887761	ACMV	ACMV
KJ887762	ACMV	ACMV
KJ887763	ACMV	ACMV
KJ887764	ACMV	ACMV
KJ887765	ACMV	ACMV
KJ887766	ACMV	ACMV
KJ887767	ACMV	ACMV
KJ887768	ACMV	ACMV
KJ887769	ACMV	ACMV
KJ887770	ACMV	ACMV
KJ887771	ACMV	ACMV
KJ887772	ACMV	ACMV
KJ887773	ACMV	ACMV
KJ887774	ACMV	ACMV
KJ887775	ACMV	ACMV
KJ887776	ACMV	ACMV
KJ887777	ACMV	ACMV
KJ887778	ACMV	ACMV
KJ887779	ACMV	ACMV
KJ887780	ACMV	ACMV
KJ887781	ACMV	ACMV
KJ887782	ACMV	ACMV
KJ887783	ACMV	ACMV
KJ887784	ACMV	ACMV
KJ887785	ACMV	ACMV
KJ887786	ACMV	ACMV
KJ887787	ACMV	ACMV
KJ887788	ACMV	ACMV
KJ887789	ACMV	ACMV
KJ887790	ACMV	ACMV
KJ887791	ACMV	ACMV
KJ887792	ACMV	ACMV
KJ887793	ACMV	ACMV
KJ887794	ACMV	ACMV
KJ887795	ACMV	ACMV
KJ887796	ACMV	ACMV
KJ887797	ACMV	ACMV
KJ887798	ACMV	ACMV
KJ887799	ACMV	ACMV
KJ887800	ACMV	ACMV
KJ887801	ACMV	ACMV
KJ887802	ACMV	ACMV
KJ887803	ACMV	ACMV
KJ887804	ACMV	ACMV
KJ887805	ACMV	ACMV
KJ887806	ACMV	ACMV
KJ887807	ACMV	ACMV
KJ887808	ACMV	ACMV
KJ887809	ACMV	ACMV
KJ887810	ACMV	ACMV
KJ887811	ACMV	ACMV
KJ887812	ACMV	ACMV
KJ887813	ACMV	ACMV
KJ887814	ACMV	ACMV
KJ887815	ACMV	ACMV
KJ887816	ACMV	ACMV
KJ887817	ACMV	ACMV
KJ887818	ACMV	ACMV
KJ887819	ACMV	ACMV
KJ887821	ACMV	ACMV
KJ887822	ACMV	ACMV
KJ887823	ACMV	ACMV
KJ887824	ACMV	ACMV
KJ887828	ACMV	ACMV
KJ887832	ACMV	ACMV
KJ887833	ACMV	ACMV
KJ887834	ACMV	ACMV
KJ887835	ACMV	ACMV
KJ887836	ACMV	ACMV
KJ887837	ACMV	ACMV
KJ887838	ACMV	ACMV
KJ887842	ACMV	ACMV
KJ887843	ACMV	ACMV
KJ887844	ACMV	ACMV
KJ887846	ACMV	ACMV
KJ887847	ACMV	ACMV
KJ887849	ACMV	ACMV
KJ887850	ACMV	ACMV
KJ887852	ACMV	ACMV
KJ887854	ACMV	ACMV
KJ887856	ACMV	ACMV
KJ887858	ACMV	ACMV
KJ887860	ACMV	ACMV
KJ887861	ACMV	ACMV
KJ887863	ACMV	ACMV
KJ887865	ACMV	ACMV
KJ887866	ACMV	ACMV
KJ887867	ACMV	ACMV
KJ887870	ACMV	ACMV
KJ887872	ACMV	ACMV
KJ887873	ACMV	ACMV
KJ887874	ACMV	ACMV
KJ887875	ACMV	ACMV
KJ887876	ACMV	ACMV
KJ887877	ACMV	ACMV
KJ887878	ACMV	ACMV
KJ887879	ACMV	ACMV
KJ887880	ACMV	ACMV
KJ887881	ACMV	ACMV
KJ887882	ACMV	ACMV
KJ887883	ACMV	ACMV
KJ887884	ACMV	ACMV
KJ887885	ACMV	ACMV
KJ887887	ACMV	ACMV
KJ887888	ACMV	ACMV
KJ887889	ACMV	ACMV
KJ887891	ACMV	ACMV
KJ887893	ACMV	ACMV
KJ887894	ACMV	ACMV
KJ887895	ACMV	ACMV
KJ887896	ACMV	ACMV
KJ887897	ACMV	ACMV
KJ887898	ACMV	ACMV
KJ887899	ACMV	ACMV
KJ887900	ACMV	ACMV
KJ887901	ACMV	ACMV
KJ887904	ACMV	ACMV
KJ887905	ACMV	ACMV
KJ887906	ACMV	ACMV
KJ887907	ACMV	ACMV
KJ887908	ACMV	ACMV
KJ887909	ACMV	ACMV
KJ887910	ACMV	ACMV
KJ887911	ACMV	ACMV
KJ887912	ACMV	ACMV
KJ887913	ACMV	ACMV
KJ887914	ACMV	ACMV
KJ887943	ACMV	ACMV
KJ887954	ACMV	ACMV
KJ887955	ACMV	ACMV
KJ887956	ACMV	ACMV
KJ887966	ACMV	ACMV
KJ887974	ACMV	ACMV
KJ887975	ACMV	ACMV
KJ887976	ACMV	ACMV
KJ887977	ACMV	ACMV
KJ887978	ACMV	ACMV
KJ887979	ACMV	ACMV
KJ887980	ACMV	ACMV
KJ887995	ACMV	ACMV
KJ887997	ACMV	ACMV
KJ888008	ACMV	ACMV
KJ888059	ACMV	ACMV
KJ888062	ACMV	ACMV
KJ888067	ACMV	ACMV
KJ888070	ACMV	ACMV
KJ888075	ACMV	ACMV
KJ888080	ACMV	ACMV
KJ888082	ACMV	ACMV
KJ888086	ACMV	ACMV
KJ888088	ACMV	ACMV
KJ888096	ACMV	ACMV
KJ888098	ACMV	ACMV
KJ888099	ACMV	ACMV
KJ888100	ACMV	ACMV
KR476371	ACMV	ACMV
KR476372	ACMV	ACMV
KT869127	ACMV	ACMV
KT869128	ACMV	ACMV
KT869129	ACMV	ACMV
KT869130	ACMV	ACMV
KT869131	ACMV	ACMV
LC658342	ACMV	ACMV
LC658343	ACMV	ACMV
LC658344	ACMV	ACMV
LC658345	ACMV	ACMV
LC658346	ACMV	ACMV
LC658347	ACMV	ACMV
LC658348	ACMV	ACMV
LC658956	ACMV	ACMV
LC658957	ACMV	ACMV
LC658958	ACMV	ACMV
LC658959	ACMV	ACMV
LC658960	ACMV	ACMV
LC658961	ACMV	ACMV
LC658962	ACMV	ACMV
LC658963	ACMV	ACMV
LC658964	ACMV	ACMV
LC721738	ACMV	ACMV
LC721739	ACMV	ACMV
LC721740	ACMV	ACMV
LC722230	ACMV	ACMV
LC723864	ACMV	ACMV
LC723865	ACMV	ACMV
LC832866	ACMV	ACMV
MG250084	ACMV	ACMV
MG250085	ACMV	ACMV
MG250086	ACMV	ACMV
MG250087	ACMV	ACMV
MG250088	ACMV	ACMV
MG250089	ACMV	ACMV
MG250090	ACMV	ACMV
MG250091	ACMV	ACMV
MG250092	ACMV	ACMV
MG250093	ACMV	ACMV
MG250094	ACMV	ACMV
MG250095	ACMV	ACMV
MG250096	ACMV	ACMV
MG250097	ACMV	ACMV
MG250098	ACMV	ACMV
MG250099	ACMV	ACMV
MG250100	ACMV	ACMV
MG250101	ACMV	ACMV
MG250102	ACMV	ACMV
MG250103	ACMV	ACMV
MG250104	ACMV	ACMV
MG250105	ACMV	ACMV
MG250106	ACMV	ACMV
MG250107	ACMV	ACMV
MG250108	ACMV	ACMV
MG250109	ACMV	ACMV
MG250110	ACMV	ACMV
MG250111	ACMV	ACMV
MG250112	ACMV	ACMV
MG250113	ACMV	ACMV
MG250114	ACMV	ACMV
MG250115	ACMV	ACMV
MG250116	ACMV	ACMV
MG250117	ACMV	ACMV
MG250118	ACMV	ACMV
MG250119	ACMV	ACMV
MG250120	ACMV	ACMV
MG250121	ACMV	ACMV
MG250122	ACMV	ACMV
MG250123	ACMV	ACMV
MG250124	ACMV	ACMV
MG250125	ACMV	ACMV
MG250126	ACMV	ACMV
MG250127	ACMV	ACMV
MG250128	ACMV	ACMV
MG250129	ACMV	ACMV
MG250130	ACMV	ACMV
MG250131	ACMV	ACMV
MG250132	ACMV	ACMV
MG250133	ACMV	ACMV
MG250134	ACMV	ACMV
MG250135	ACMV	ACMV
MG250136	ACMV	ACMV
MG250137	ACMV	ACMV
MG250138	ACMV	ACMV
MG250139	ACMV	ACMV
MG250140	ACMV	ACMV
MG250141	ACMV	ACMV
MG250142	ACMV	ACMV
MG250143	ACMV	ACMV
MG250144	ACMV	ACMV
MG250145	ACMV	ACMV
MG250146	ACMV	ACMV
MG250147	ACMV	ACMV
MG250148	ACMV	ACMV
MG250149	ACMV	ACMV
MG250150	ACMV	ACMV
MG250151	ACMV	ACMV
MG250152	ACMV	ACMV
MG250153	ACMV	ACMV
MG250154	ACMV	ACMV
MG250155	ACMV	ACMV
MG250156	ACMV	ACMV
MG250157	ACMV	ACMV
MG250158	ACMV	ACMV
MG250159	ACMV	ACMV
MG250160	ACMV	ACMV
MN809985	ACMV	ACMV
MN809986	ACMV	ACMV
MN809987	ACMV	ACMV
MN809988	ACMV	ACMV
MT821855	ACMV	ACMV
MT821856	ACMV	ACMV
MT821857	ACMV	ACMV
MT821858	ACMV	ACMV
MT821859	ACMV	ACMV
MT821860	ACMV	ACMV
MT821861	ACMV	ACMV
MT821862	ACMV	ACMV
MT821863	ACMV	ACMV
MT821864	ACMV	ACMV
MT821865	ACMV	ACMV
MT821866	ACMV	ACMV
MT821867	ACMV	ACMV
MT821868	ACMV	ACMV
MT821869	ACMV	ACMV
MT821870	ACMV	ACMV
MT821871	ACMV	ACMV
MT821872	ACMV	ACMV
MT821873	ACMV	ACMV
MT821874	ACMV	ACMV
MT821875	ACMV	ACMV
MT821876	ACMV	ACMV
MT821877	ACMV	ACMV
MT821878	ACMV	ACMV
MT858793	ACMV	ACMV
MW788220	ACMV	ACMV
MW848516	ACMV	ACMV
MZ595263	ACMV	ACMV
MZ595265	ACMV	ACMV
OP947587	ACMV	ACMV
PP503026	ACMV	ACMV
PV747991	ACMV	ACMV
PV747993	ACMV	ACMV
X17095	ACMV	ACMV
HE616777	ACMV	ACMV
HE616779	ACMV	ACMV
HE616780	ACMV	ACMV
HE616781	ACMV	ACMV
NC55128	ACMV	ACMV
AF126800	ACMV	ACMV
AF126802	ACMV	ACMV
AJ422132	SACMV	SACMV
AJ575560	SACMV	SACMV
KJ887820	SACMV	SACMV
KJ887826	SACMV	SACMV
KJ887827	SACMV	SACMV
KJ887839	SACMV	SACMV
KJ887840	SACMV	SACMV
KJ887841	SACMV	SACMV
KJ887845	SACMV	SACMV
KJ887848	SACMV	SACMV
KJ887851	SACMV	SACMV
KJ887853	SACMV	SACMV
KJ887855	SACMV	SACMV
KJ887857	SACMV	SACMV
KJ887859	SACMV	SACMV
KJ887862	SACMV	SACMV
KJ887864	SACMV	SACMV
KJ887868	SACMV	SACMV
KJ887869	SACMV	SACMV
KJ887871	SACMV	SACMV
KJ887886	SACMV	SACMV
KJ887890	SACMV	SACMV
KJ887892	SACMV	SACMV
KJ887902	SACMV	SACMV
KJ887915	SACMV	SACMV
KJ887916	SACMV	SACMV
KJ887917	SACMV	SACMV
KJ887918	SACMV	SACMV
KJ887919	SACMV	SACMV
KJ887920	SACMV	SACMV
KJ887921	SACMV	SACMV
KJ887922	SACMV	SACMV
KJ887923	SACMV	SACMV
KJ887924	SACMV	SACMV
KJ887925	SACMV	SACMV
KJ887926	SACMV	SACMV
KJ887927	SACMV	SACMV
KJ887928	SACMV	SACMV
KJ887929	SACMV	SACMV
KJ887931	SACMV	SACMV
KJ887932	SACMV	SACMV
KJ887933	SACMV	SACMV
KJ887934	SACMV	SACMV
KJ887935	SACMV	SACMV
KJ887936	SACMV	SACMV
KJ887937	SACMV	SACMV
KJ887940	SACMV	SACMV
KJ887941	SACMV	SACMV
KJ887942	SACMV	SACMV
KJ887952	SACMV	SACMV
KJ887958	SACMV	SACMV
KJ887961	SACMV	SACMV
KJ887965	SACMV	SACMV
KJ887967	SACMV	SACMV
KJ887968	SACMV	SACMV
KJ887969	SACMV	SACMV
KJ887970	SACMV	SACMV
KJ887971	SACMV	SACMV
KJ887972	SACMV	SACMV
KJ887981	SACMV	SACMV
KJ887982	SACMV	SACMV
KJ887983	SACMV	SACMV
KJ887984	SACMV	SACMV
KJ887985	SACMV	SACMV
KJ887986	SACMV	SACMV
KJ887987	SACMV	SACMV
KJ887988	SACMV	SACMV
KJ887989	SACMV	SACMV
KJ887990	SACMV	SACMV
KJ887991	SACMV	SACMV
KJ887992	SACMV	SACMV
KJ887993	SACMV	SACMV
KJ887994	SACMV	SACMV
KJ887996	SACMV	SACMV
KJ887998	SACMV	SACMV
KJ887999	SACMV	SACMV
KJ888000	SACMV	SACMV
KJ888001	SACMV	SACMV
